tick,v0,g0,v1,g1,v2,g2,v3,g3,spikes
1,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,1000
2,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
3,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
4,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
5,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
6,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
7,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
8,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
9,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
10,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,0000
11,-52.00000000000000,0.00000000000000,-51.32944929048897,66.05427394172222,-52.67055070951103,-66.05427394172222,-52.00000000000000,0.00000000000000,0000
12,-52.00000000000000,0.00000000000000,-50.69186334141392,63.46424881408120,-53.30813665858608,-63.46424881408120,-52.00000000000000,0.00000000000000,0000
13,-52.00000000000000,0.00000000000000,-50.08588319761488,60.97578002430457,-53.91411680238512,-60.97578002430457,-52.00000000000000,0.00000000000000,1000
14,-52.00000000000000,0.00000000000000,-49.51020384990159,58.58488549142702,-54.48979615009841,-58.58488549142702,-52.00000000000000,0.00000000000000,0000
15,-52.00000000000000,0.00000000000000,-48.96357211322905,56.28773927411124,-55.03642788677095,-56.28773927411124,-52.00000000000000,0.00000000000000,0000
16,-52.00000000000000,0.00000000000000,-48.44478458813614,54.08066544832553,-55.55521541186386,-54.08066544832553,-52.00000000000000,0.00000000000000,0000
17,-52.00000000000000,0.00000000000000,-47.95268570218239,51.96013222508111,-56.04731429781761,-51.96013222508111,-52.00000000000000,0.00000000000000,0000
18,-52.00000000000000,0.00000000000000,-47.48616582824500,49.92274629881624,-56.51383417175500,-49.92274629881624,-52.00000000000000,0.00000000000000,0000
19,-52.00000000000000,0.00000000000000,-47.04415947666213,47.96524741738337,-56.95584052333787,-47.96524741738337,-52.00000000000000,0.00000000000000,0000
20,-52.00000000000000,0.00000000000000,-46.62564355832598,46.08450316495018,-57.37435644167402,-46.08450316495018,-52.00000000000000,0.00000000000000,0000
21,-52.00000000000000,0.00000000000000,-46.22963571594320,44.27750394946595,-60.72100685557307,-42.35592507116130,-52.00000000000000,0.00000000000000,0000
22,-52.00000000000000,0.00000000000000,-45.85519272078918,42.54135818667217,-61.04734841451767,-40.69512549389889,-52.00000000000000,0.00000000000000,0000
23,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-62.02479497988158,-105.15372074123876,-52.00000000000000,0.00000000000000,0100
24,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-62.95065972393962,-101.03058437575480,-52.00000000000000,0.00000000000000,0000
25,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-63.82709709419161,-97.06911849961291,-52.00000000000000,0.00000000000000,0000
26,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-64.65617574866187,-93.26298392225348,-52.00000000000000,0.00000000000000,0000
27,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-65.43988193281105,-89.60609001633405,-52.00000000000000,0.00000000000000,0000
28,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-66.18012272390747,-86.09258497142618,-52.00000000000000,0.00000000000000,0000
29,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-66.87872914805617,-82.71684642987029,-52.00000000000000,0.00000000000000,0000
30,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-67.53745917488013,-79.47347248980392,-52.00000000000000,0.00000000000000,0000
31,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-68.15800059465226,-76.35727306096629,-52.00000000000000,0.00000000000000,0000
32,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-68.74197378248874,-73.36326155944660,-52.00000000000000,0.00000000000000,0000
33,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-69.29093435403290,-70.48664692808589,-51.32944929048897,66.05427394172222,0000
34,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-69.80637571688615,-67.72282596976346,-50.69186334141392,63.46424881408120,0000
35,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-70.28973152187460,-65.06737598129942,-50.08588319761488,60.97578002430457,0000
